fecha,portafolio_total_mxn
2022-05-03,595814.67
2022-05-04,595758.54
2022-05-05,595702.41
2022-05-06,595646.29
2022-05-09,595590.17
2022-05-10,595534.06
2022-05-11,595477.95
2022-05-12,595421.85
2022-05-13,595365.76
2022-05-16,595309.67
2022-05-17,595253.58
2022-05-18,595197.50
2022-05-19,595141.43
2022-05-20,595085.36
2022-05-23,595029.29
2022-05-24,594973.23
2022-05-25,594917.18
2022-05-26,594861.13
2022-05-27,594805.09
2022-05-30,594749.05
2022-05-31,594693.02
2022-06-01,604636.05
2022-06-02,604579.09
2022-06-03,604522.13
2022-06-06,604465.18
2022-06-07,604408.23
2022-06-08,604351.29
2022-06-09,604294.35
2022-06-10,604237.42
2022-06-13,604180.49
2022-06-14,604123.57
2022-06-15,604066.66
2022-06-16,604009.75
2022-06-17,603952.84
2022-06-20,603895.94
2022-06-21,603839.05
2022-06-22,603782.16
2022-06-23,603725.28
2022-06-24,603668.40
2022-06-27,603611.53
2022-06-28,603554.66
2022-06-29,603497.80
2022-06-30,603440.94
2022-07-01,613270.84
2022-07-04,613100.78
2022-07-05,612930.77
2022-07-06,612760.81
2022-07-07,612590.90
2022-07-08,612421.03
2022-07-11,612251.21
2022-07-12,612081.44
2022-07-13,611911.72
2022-07-14,611742.04
2022-07-15,611572.41
2022-07-18,611402.82
2022-07-19,611233.28
2022-07-20,611063.79
2022-07-21,610894.35
2022-07-22,610724.95
2022-07-25,610555.60
2022-07-26,610386.30
2022-07-27,610217.05
2022-07-28,610047.84
2022-07-29,609878.68
2022-08-01,619706.79
2022-08-02,619534.95
2022-08-03,619363.16
2022-08-04,619191.41
2022-08-05,619019.72
2022-08-08,618848.07
2022-08-09,618676.46
2022-08-10,618504.91
2022-08-11,618333.40
2022-08-12,618161.94
2022-08-15,617990.53
2022-08-16,617819.17
2022-08-17,617647.85
2022-08-18,617476.58
2022-08-19,617305.36
2022-08-22,617134.19
2022-08-23,616963.06
2022-08-24,616791.98
2022-08-25,616620.95
2022-08-26,616449.97
2022-08-29,616279.03
2022-08-30,616108.14
2022-08-31,615937.30
2022-09-01,625763.73
2022-09-02,625590.21
2022-09-05,625416.74
2022-09-06,625243.32
2022-09-07,625069.94
2022-09-08,624896.61
2022-09-09,624723.34
2022-09-12,624550.10
2022-09-13,624376.92
2022-09-14,624203.79
2022-09-15,624030.70
2022-09-16,623857.66
2022-09-19,623684.67
2022-09-20,623511.73
2022-09-21,623338.83
2022-09-22,623165.99
2022-09-23,622993.19
2022-09-26,622820.44
2022-09-27,622647.73
2022-09-28,622475.08
2022-09-29,622302.47
2022-09-30,622129.91
2022-10-03,632664.50
2022-10-04,633199.54
2022-10-05,633735.03
2022-10-06,634270.98
2022-10-07,634807.38
2022-10-10,635344.23
2022-10-11,635881.54
2022-10-12,636419.30
2022-10-13,636957.51
2022-10-14,637496.18
2022-10-17,638035.31
2022-10-18,638574.89
2022-10-19,639114.93
2022-10-20,639655.43
2022-10-21,640196.38
2022-10-24,640737.79
2022-10-25,641279.66
2022-10-26,641821.99
2022-10-27,642364.77
2022-10-28,642908.01
2022-10-31,643451.72
2022-11-01,654004.34
2022-11-02,654557.43
2022-11-03,655110.98
2022-11-04,655665.00
2022-11-07,656219.50
2022-11-08,656774.46
2022-11-09,657329.89
2022-11-10,657885.79
2022-11-11,658442.16
2022-11-14,658999.00
2022-11-15,659556.31
2022-11-16,660114.09
2022-11-17,660672.35
2022-11-18,661231.07
2022-11-21,661790.27
2022-11-22,662349.95
2022-11-23,662910.09
2022-11-24,663470.71
2022-11-25,664031.80
2022-11-28,664593.37
2022-11-29,665155.41
2022-11-30,665717.93
2022-12-01,676289.38
2022-12-02,676861.32
2022-12-05,677433.73
2022-12-06,678006.63
2022-12-07,678580.02
2022-12-08,679153.89
2022-12-09,679728.25
2022-12-12,680303.09
2022-12-13,680878.42
2022-12-14,681454.23
2022-12-15,682030.54
2022-12-16,682607.32
2022-12-19,683184.60
2022-12-20,683762.37
2022-12-21,684340.62
2022-12-22,684919.36
2022-12-23,685498.60
2022-12-26,686078.32
2022-12-27,686658.53
2022-12-28,687239.23
2022-12-29,687820.43
2022-12-30,688402.11
2023-01-02,698738.09
2023-01-03,699074.23
2023-01-04,699410.53
2023-01-05,699747.00
2023-01-06,700083.62
2023-01-09,700420.41
2023-01-10,700757.36
2023-01-11,701094.47
2023-01-12,701431.74
2023-01-13,701769.18
2023-01-16,702106.78
2023-01-17,702444.54
2023-01-18,702782.46
2023-01-19,703120.55
2023-01-20,703458.80
