,cetes_mxn,e_E11_mxn,ml_LogisticRegression_mxn,ga_mxn
2021-09-07,544462.94,537839.83,587958.34,524732.43
2021-09-08,544561.98,535641.85,585292.83,524682.99
2021-09-09,544661.03,536853.74,592428.13,524633.56
2021-09-10,544760.10,536943.07,589374.64,524584.13
2021-09-13,544859.19,539278.85,590556.19,524534.71
2021-09-14,544958.30,543818.49,591264.76,524485.29
2021-09-15,545057.42,545229.27,592048.57,524435.88
2021-09-16,545156.56,,592048.57,524386.47
2021-09-17,545255.73,550512.51,592781.30,524337.07
2021-09-20,545354.91,547420.09,588019.03,524287.67
2021-09-21,545454.10,554226.40,592872.68,524238.28
2021-09-22,545553.32,553653.51,592128.19,524188.89
2021-09-23,545652.55,557269.80,591755.73,524139.50
2021-09-24,545751.80,550211.52,590061.55,524090.12
2021-09-27,545851.07,549093.00,588269.68,524040.75
2021-09-28,545950.36,548322.59,587735.80,523991.38
2021-09-29,546049.67,548910.74,585043.65,523942.01
2021-09-30,546148.99,551339.12,586541.34,523892.65
2021-10-01,556257.73,561448.44,597601.64,533842.35
2021-10-04,556366.49,555042.37,598977.49,533792.06
2021-10-05,556475.27,551481.47,599063.46,533741.77
2021-10-06,556584.07,547211.59,598688.60,533691.48
2021-10-07,556692.89,542925.28,604853.85,533641.20
2021-10-08,556801.74,540210.49,600194.11,533590.93
2021-10-11,556910.60,535604.67,599247.74,533540.66
2021-10-12,557019.49,535486.30,596193.91,533490.39
2021-10-13,557128.40,535536.89,600691.61,533440.13
2021-10-14,557237.33,539371.43,600469.60,533389.88
2021-10-15,557346.28,536191.24,601372.74,533339.62
2021-10-18,557455.25,536036.72,600154.14,533289.38
2021-10-19,557564.25,531914.68,597903.98,533239.13
2021-10-20,557673.26,529620.98,597314.12,533188.90
2021-10-21,557782.30,528446.73,600734.36,533138.67
2021-10-22,557891.36,530153.50,607344.85,533088.44
2021-10-25,558000.44,528485.50,604402.69,533038.21
2021-10-26,558109.54,526526.82,603676.51,532988.00
2021-10-27,558218.66,525123.74,598305.80,532937.78
2021-10-28,558327.80,529080.86,597509.42,532887.57
2021-10-29,558436.96,529093.02,598140.28,532837.37
2021-11-01,568554.11,540344.56,608960.41,542786.23
2021-11-02,568671.28,,608960.41,542735.09
2021-11-03,568788.48,535728.28,604900.36,542683.96
2021-11-04,568905.70,533693.50,603572.84,542632.83
2021-11-05,569022.94,539474.02,604319.49,542581.71
2021-11-08,569140.21,542522.09,610095.46,542530.59
2021-11-09,569257.50,546372.90,617747.26,542479.48
2021-11-10,569374.81,545424.78,615551.20,542428.37
2021-11-11,569492.15,543077.03,614052.90,542377.27
2021-11-12,569609.52,549458.97,618908.53,542326.17
2021-11-15,569726.90,,618908.53,542275.08
2021-11-16,569844.32,548872.04,618284.28,542223.99
2021-11-17,569961.75,546840.34,616123.40,542172.90
2021-11-18,570079.21,537035.38,611004.21,542121.83
2021-11-19,570196.70,536826.89,609350.41,542070.75
2021-11-22,570314.21,532339.99,605388.40,542019.68
2021-11-23,570431.74,530805.92,605024.26,541968.62
2021-11-24,570549.30,527985.91,605671.67,541917.56
