fecha,portafolio_total_mxn
2023-01-09,769827.38
2023-01-10,770136.88
2023-01-11,770446.50
2023-01-12,770756.24
2023-01-13,771066.11
2023-01-16,771376.11
2023-01-17,771686.23
2023-01-18,771996.47
2023-01-19,772306.84
2023-01-20,772617.34
2023-01-23,772927.95
2023-01-24,773238.70
2023-01-25,773549.57
2023-01-26,773860.56
2023-01-27,774171.68
2023-01-30,774482.92
2023-01-31,774794.29
2023-02-01,785115.99
2023-02-02,785437.82
2023-02-03,785759.79
2023-02-06,786081.89
2023-02-07,786404.12
2023-02-08,786726.48
2023-02-09,787048.97
2023-02-10,787371.60
2023-02-13,787694.36
2023-02-14,788017.25
2023-02-15,788340.27
2023-02-16,788663.43
2023-02-17,788986.72
2023-02-20,789310.14
2023-02-21,789633.69
2023-02-22,789957.37
2023-02-23,790281.19
2023-02-24,790605.14
2023-02-27,790929.23
2023-02-28,791253.44
2023-03-01,801591.35
2023-03-02,801929.39
2023-03-03,802267.58
2023-03-06,802605.91
2023-03-07,802944.38
2023-03-08,803282.99
2023-03-09,803621.75
2023-03-10,803960.65
2023-03-13,804299.69
2023-03-14,804638.88
2023-03-15,804978.21
2023-03-16,805317.68
2023-03-17,805657.30
2023-03-20,805997.06
2023-03-21,806336.96
2023-03-22,806677.00
2023-03-23,807017.19
2023-03-24,807357.53
2023-03-27,807698.00
2023-03-28,808038.62
2023-03-29,808379.38
2023-03-30,808720.29
2023-03-31,809061.34
2023-04-03,819415.80
2023-04-04,819770.42
2023-04-05,820125.19
2023-04-06,820480.11
2023-04-07,820835.19
2023-04-10,821190.42
2023-04-11,821545.81
2023-04-12,821901.34
2023-04-13,822257.04
2023-04-14,822612.88
2023-04-17,822968.88
2023-04-18,823325.04
2023-04-19,823681.34
2023-04-20,824037.81
2023-04-21,824394.42
2023-04-24,824751.19
2023-04-25,825108.12
2023-04-26,825465.20
2023-04-27,825822.43
2023-04-28,826179.82
2023-05-01,836541.69
2023-05-02,836903.72
2023-05-03,837265.91
2023-05-04,837628.25
2023-05-05,837990.75
2023-05-08,838353.40
2023-05-09,838716.21
2023-05-10,839079.18
2023-05-11,839442.31
2023-05-12,839805.59
2023-05-15,840169.03
2023-05-16,840532.63
2023-05-17,840896.38
2023-05-18,841260.30
2023-05-19,841624.37
2023-05-22,841988.59
2023-05-23,842352.98
2023-05-24,842717.52
2023-05-25,843082.22
2023-05-26,843447.08
2023-05-29,843812.10
2023-05-30,844177.27
2023-05-31,844542.60
2023-06-01,854909.07
2023-06-02,855275.70
2023-06-05,855642.48
2023-06-06,856009.43
2023-06-07,856376.53
2023-06-08,856743.78
2023-06-09,857111.20
2023-06-12,857478.77
2023-06-13,857846.50
2023-06-14,858214.38
2023-06-15,858582.43
2023-06-16,858950.63
2023-06-19,859318.99
2023-06-20,859687.51
2023-06-21,860056.19
2023-06-22,860425.02
2023-06-23,860794.02
2023-06-26,861163.17
2023-06-27,861532.48
2023-06-28,861901.94
2023-06-29,862271.57
2023-06-30,862641.35
2023-07-03,873010.61
2023-07-04,873380.02
2023-07-05,873749.58
2023-07-06,874119.30
2023-07-07,874489.18
2023-07-10,874859.22
2023-07-11,875229.41
2023-07-12,875599.76
2023-07-13,875970.26
2023-07-14,876340.92
2023-07-17,876711.74
2023-07-18,877082.72
2023-07-19,877453.85
2023-07-20,877825.14
2023-07-21,878196.58
2023-07-24,878568.19
2023-07-25,878939.95
2023-07-26,879311.87
2023-07-27,879683.94
2023-07-28,880056.18
2023-07-31,880428.57
2023-08-01,890805.03
2023-08-02,891181.65
2023-08-03,891558.43
2023-08-04,891935.37
2023-08-07,892312.47
2023-08-08,892689.73
2023-08-09,893067.14
2023-08-10,893444.72
2023-08-11,893822.46
2023-08-14,894200.35
2023-08-15,894578.41
2023-08-16,894956.63
2023-08-17,895335.00
2023-08-18,895713.54
2023-08-21,896092.24
2023-08-22,896471.09
2023-08-23,896850.11
2023-08-24,897229.28
2023-08-25,897608.62
2023-08-28,897988.12
2023-08-29,898367.78
2023-08-30,898747.60
2023-08-31,899127.57
2023-09-01,909513.24
2023-09-04,909899.07
2023-09-05,910285.06
2023-09-06,910671.22
2023-09-07,911057.54
2023-09-08,911444.02
2023-09-11,911830.67
2023-09-12,912217.48
2023-09-13,912604.45
2023-09-14,912991.59
2023-09-15,913378.90
2023-09-18,913766.37
2023-09-19,914154.00
2023-09-20,914541.80
2023-09-21,914929.76
2023-09-22,915317.89
2023-09-25,915706.18
2023-09-26,916094.63
2023-09-27,916483.25
2023-09-28,916872.04
2023-09-29,917260.99
2023-10-02,927653.68
2023-10-03,928046.55
2023-10-04,928439.58
2023-10-05,928832.77
2023-10-06,929226.13
2023-10-09,929619.66
2023-10-10,930013.35
2023-10-11,930407.22
2023-10-12,930801.24
2023-10-13,931195.44
2023-10-16,931589.80
2023-10-17,931984.33
2023-10-18,932379.03
2023-10-19,932773.89
2023-10-20,933168.92
2023-10-23,933564.12
2023-10-24,933959.48
2023-10-25,934355.02
2023-10-26,934750.72
2023-10-27,935146.58
2023-10-30,935542.62
2023-10-31,935938.82
2023-11-01,946339.09
2023-11-02,946739.53
2023-11-03,947140.14
2023-11-06,947540.91
2023-11-07,947941.86
2023-11-08,948342.97
2023-11-09,948744.26
2023-11-10,949145.72
2023-11-13,949547.34
2023-11-14,949949.14
2023-11-15,950351.10
2023-11-16,950753.24
2023-11-17,951155.54
2023-11-20,951558.02
2023-11-21,951960.66
2023-11-22,952363.48
2023-11-23,952766.47
2023-11-24,953169.62
2023-11-27,953572.95
2023-11-28,953976.45
2023-11-29,954380.12
2023-11-30,954783.96
2023-12-01,965191.86
2023-12-04,965599.93
2023-12-05,966008.17
2023-12-06,966416.59
2023-12-07,966825.18
2023-12-08,967233.94
2023-12-11,967642.87
2023-12-12,968051.98
2023-12-13,968461.26
2023-12-14,968870.71
2023-12-15,969280.34
2023-12-18,969690.14
2023-12-19,970100.11
2023-12-20,970510.26
2023-12-21,970920.58
2023-12-22,971331.07
2023-12-25,971741.73
2023-12-26,972152.57
2023-12-27,972563.59
2023-12-28,972974.78
2023-12-29,973386.14
2024-01-01,983800.50
2024-01-02,984215.03
2024-01-03,984629.74
2024-01-04,985044.62
2024-01-05,985459.68
2024-01-08,985874.91
2024-01-09,986290.32
2024-01-10,986705.90
2024-01-11,987121.66
2024-01-12,987537.59
2024-01-15,987953.70
2024-01-16,988369.98
2024-01-17,988786.44
2024-01-18,989203.08
2024-01-19,989619.89
2024-01-22,990036.87
2024-01-23,990454.03
2024-01-24,990871.37
2024-01-25,991288.88
2024-01-26,991706.57
2024-01-29,992124.44
2024-01-30,992542.48
2024-01-31,992960.70
2024-02-01,1003381.51
2024-02-02,1003802.50
2024-02-05,1004223.67
2024-02-06,1004645.02
2024-02-07,1005066.54
2024-02-08,1005488.24
2024-02-09,1005910.12
2024-02-12,1006332.17
2024-02-13,1006754.40
2024-02-14,1007176.81
2024-02-15,1007599.40
2024-02-16,1008022.16
2024-02-19,1008445.10
2024-02-20,1008868.22
2024-02-21,1009291.51
2024-02-22,1009714.98
2024-02-23,1010138.63
2024-02-26,1010562.46
2024-02-27,1010986.47
2024-02-28,1011410.65
2024-02-29,1011835.01
2024-03-01,1022260.83
2024-03-04,1022686.82
2024-03-05,1023112.99
2024-03-06,1023539.34
2024-03-07,1023965.86
2024-03-08,1024392.56
2024-03-11,1024819.44
2024-03-12,1025246.50
2024-03-13,1025673.74
2024-03-14,1026101.15
2024-03-15,1026528.74
2024-03-18,1026956.51
2024-03-19,1027384.46
2024-03-20,1027812.59
2024-03-21,1028240.90
2024-03-22,1028669.38
2024-03-25,1029098.04
2024-03-26,1029526.88
2024-03-27,1029955.90
2024-03-28,1030385.10
2024-03-29,1030814.48
2024-04-01,1041246.71
2024-04-02,1041679.13
2024-04-03,1042111.72
2024-04-04,1042544.50
2024-04-05,1042977.45
2024-04-08,1043410.59
2024-04-09,1043843.90
2024-04-10,1044277.39
2024-04-11,1044711.07
2024-04-12,1045144.92
2024-04-15,1045578.95
2024-04-16,1046013.17
2024-04-17,1046447.56
2024-04-18,1046882.13
2024-04-19,1047316.89
2024-04-22,1047751.83
2024-04-23,1048186.94
2024-04-24,1048622.24
2024-04-25,1049057.72
2024-04-26,1049493.38
2024-04-29,1049929.21
2024-04-30,1050365.24
2024-05-01,1060801.80
2024-05-02,1061238.54
2024-05-03,1061675.46
2024-05-06,1062112.56
2024-05-07,1062549.84
2024-05-08,1062987.30
2024-05-09,1063424.94
2024-05-10,1063862.76
2024-05-13,1064300.76
2024-05-14,1064738.95
2024-05-15,1065177.31
2024-05-16,1065615.85
2024-05-17,1066054.57
2024-05-20,1066493.48
